episode,timestep,reward
35245,2150000,-6.9703
35278,2152000,-25.9182
35311,2154000,-23.4788
35344,2156000,-17.4318
35377,2158000,-13.4667
35409,2160000,-20.6219
35442,2162000,-18.1136
35475,2164000,-23.6152
35508,2166000,-16.797
35540,2168000,-30.6219
35573,2170000,-45.0318
35606,2172000,-22.6258
35639,2174000,-20.9015
35672,2176000,-26.8333
35704,2178000,-19.2266
35737,2180000,-9.1848
35770,2182000,-18.1061
35803,2184000,-16.2818
35836,2186000,-12.3788
35868,2188000,-12.5906
35901,2190000,6.3485
35934,2192000,-29.5758
35967,2194000,-25.5682
35999,2196000,-21.15
36032,2198000,-28.5182
36065,2200000,-25.0409
36098,2202000,-11.6955
36131,2204000,-18.2242
36163,2206000,-26.6578
36196,2208000,-14.9212
36229,2210000,-15.7636
36262,2212000,-19.35
36295,2214000,-5.8545
36327,2216000,-25.5062
36360,2218000,-31.3818
36393,2220000,-14.4621
36426,2222000,-22.5939
36459,2224000,-27.0727
36491,2226000,-18.5562
36524,2228000,-8.8667
36557,2230000,-18.2121
36590,2232000,-22.4076
36622,2234000,-25.7578
36655,2236000,-1.9015
36688,2238000,-17.8333
36721,2240000,-29.9167
36754,2242000,-20.1061
